Дата;Температура, °С
22-02-2014;-29.21
23-02-2014;-23.93
24-02-2014;-17.15
25-02-2014;-11.70
26-02-2014;-7.03
27-02-2014;-6.14
28-02-2014;-6.09
01-03-2014;-7.13
02-03-2014;-8.36
03-03-2014;-8.59
04-03-2014;-8.24
05-03-2014;-8.19
06-03-2014;-5.69
07-03-2014;-6.79
08-03-2014;-6.96
09-03-2014;-2.27
10-03-2014;0.06
11-03-2014;0.04
12-03-2014;-0.63
13-03-2014;-2.14
14-03-2014;-1.64
15-03-2014;-1.95
16-03-2014;-0.29
17-03-2014;2.05
18-03-2014;-0.59
19-03-2014;-1.22
20-03-2014;-2.13
21-03-2014;-4.34
22-03-2014;-4.88
23-03-2014;-0.12
24-03-2014;0.40
