Дата;Температура, °С
21-02-2015;1.05
22-02-2015;0.96
23-02-2015;0.69
24-02-2015;1.44
25-02-2015;0.34
26-02-2015;0.07
27-02-2015;-0.50
28-02-2015;1.00
01-03-2015;0.08
02-03-2015;-0.63
03-03-2015;-0.39
04-03-2015;0.26
05-03-2015;-0.37
06-03-2015;-1.13
07-03-2015;-0.62
08-03-2015;0.48
09-03-2015;5.22
10-03-2015;5.54
11-03-2015;5.68
12-03-2015;2.76
13-03-2015;1.89
14-03-2015;1.59
15-03-2015;2.17
16-03-2015;2.71
17-03-2015;2.54
18-03-2015;2.36
19-03-2015;3.08
20-03-2015;3.55
21-03-2015;2.29
22-03-2015;-1.65
23-03-2015;-4.26
