Дата;Температура, °С
05-08-2017;21.04
06-08-2017;20.61
07-08-2017;19.84
08-08-2017;18.93
09-08-2017;17.59
10-08-2017;17.08
11-08-2017;17.80
12-08-2017;18.58
13-08-2017;18.03
14-08-2017;17.68
15-08-2017;17.96
16-08-2017;18.02
17-08-2017;18.14
18-08-2017;18.09
19-08-2017;18.72
20-08-2017;18.88
21-08-2017;19.32
22-08-2017;19.89
23-08-2017;19.39
24-08-2017;18.30
25-08-2017;17.06
26-08-2017;16.27
27-08-2017;15.31
28-08-2017;14.58
29-08-2017;14.48
30-08-2017;14.92
31-08-2017;15.27
01-09-2017;15.51
02-09-2017;15.75
03-09-2017;15.43
04-09-2017;13.79
