Дата;Температура, °С
31-08-2011;22.50
01-09-2011;22.60
02-09-2011;21.10
03-09-2011;21.30
04-09-2011;17.80
05-09-2011;16.80
06-09-2011;16.20
07-09-2011;17.50
08-09-2011;19.40
09-09-2011;18.00
10-09-2011;15.00
11-09-2011;16.10
12-09-2011;16.50
13-09-2011;19.20
14-09-2011;20.70
15-09-2011;21.10
16-09-2011;21.00
17-09-2011;17.10
18-09-2011;15.50
19-09-2011;15.70
20-09-2011;15.80
21-09-2011;16.30
22-09-2011;17.50
23-09-2011;18.30
24-09-2011;18.00
25-09-2011;15.90
26-09-2011;13.20
27-09-2011;14.60
28-09-2011;16.40
29-09-2011;12.60
30-09-2011;11.60
