Дата;Температура, °С
31-10-2011;6.60
01-11-2011;5.90
02-11-2011;8.70
03-11-2011;4.90
04-11-2011;1.00
05-11-2011;-3.00
06-11-2011;-2.90
07-11-2011;1.40
08-11-2011;5.00
09-11-2011;2.60
10-11-2011;1.20
11-11-2011;2.50
12-11-2011;2.90
13-11-2011;2.30
14-11-2011;1.80
15-11-2011;-0.40
16-11-2011;0.10
17-11-2011;0.20
18-11-2011;-1.80
19-11-2011;-1.30
20-11-2011;-3.50
21-11-2011;-3.20
22-11-2011;-5.20
23-11-2011;-1.90
24-11-2011;2.30
25-11-2011;3.00
26-11-2011;4.00
27-11-2011;3.60
28-11-2011;1.40
29-11-2011;0.60
30-11-2011;-0.80
